id;eventId;trainingModuleId;responsibleId
1314;2;4;166
1315;2;5;166
1316;2;1;90
1317;2;2;90
1318;2;3;90
1319;2;4;90
1320;2;5;90
1321;2;1;104
1322;2;2;104
1323;2;3;104
1324;2;4;104
1325;2;5;104
1326;2;1;262
1327;2;2;262
1328;2;3;262
1329;2;4;262
1330;2;5;262
1331;2;1;165
1332;2;2;165
1333;2;3;165
1334;2;4;165
1335;2;5;165
1336;2;1;91
1337;2;2;91
1338;2;3;91
1339;2;4;91
1340;2;5;91
1341;2;1;264
1342;2;2;264
1343;2;3;264
1344;2;4;264
1345;2;5;264
1346;2;1;287
1347;2;2;287
1348;2;3;287
1349;2;4;287
1350;2;5;287
1351;2;1;93
1352;2;2;93
1353;2;3;93
1354;2;4;93
1355;2;5;93
1356;2;1;164
1357;2;2;164
1358;2;3;164
1359;2;4;164
1360;2;5;164
1361;2;1;94
1362;2;2;94
1363;2;3;94
1364;2;4;94
1365;2;5;94
1366;2;1;265
1367;2;2;265
1368;2;3;265
1369;2;4;265
1370;2;5;265
1371;2;1;163
1372;2;2;163
1373;2;3;163
1374;2;4;163
1375;2;5;163
1376;2;1;97
1377;2;2;97
1378;2;3;97
1379;2;4;97
1380;2;5;97
1381;2;1;266
1382;2;2;266
1383;2;3;266
1384;2;4;266
1385;2;5;266
1386;2;1;162
1387;2;2;162
1388;2;3;162
1389;2;4;162
1390;2;5;162
1391;2;1;98
1392;2;2;98
1393;2;3;98
1394;2;4;98
1395;2;5;98
1396;2;1;268
1397;2;2;268
1398;2;3;268
1399;2;4;268
1400;2;5;268
1401;2;1;99
1402;2;2;99
1403;2;3;99
1404;2;4;99
1405;2;5;99
1406;2;1;160
1407;2;2;160
1408;2;3;160
1409;2;4;160
1410;2;5;160
1411;2;1;141
1412;2;2;141
1413;2;3;141
1414;2;4;141
1415;2;5;141
1416;2;1;100
1417;2;2;100
1418;2;3;100
1419;2;4;100
1420;2;5;100
1421;2;1;269
1422;2;2;269
1423;2;3;269
1424;2;4;269
1425;2;5;269
1426;2;1;101
1427;2;2;101
1428;2;3;101
1429;2;4;101
1430;2;5;101
1431;2;1;159
1432;2;2;159
1433;2;3;159
1434;2;4;159
1435;2;5;159
1436;2;1;270
1437;2;2;270
1438;2;3;270
1439;2;4;270
1440;2;5;270
1441;2;1;102
1442;2;2;102
1443;2;3;102
1444;2;4;102
1445;2;5;102
1446;2;1;157
1447;2;2;157
1448;2;3;157
1449;2;4;157
1450;2;5;157
1451;2;1;271
1452;2;2;271
1453;2;3;271
1454;2;4;271
1455;2;5;271
1456;2;1;103
1457;2;2;103
1458;2;3;103
1459;2;4;103
1460;2;5;103
1461;2;1;30
1462;2;2;30
1463;2;3;30
1464;2;4;30
1465;2;5;30
1466;3;1;5323
1467;3;2;5323
1468;3;3;5323
1469;3;4;5323
1470;3;5;5323
1471;3;1;246
1472;3;2;246
1473;3;3;246
1474;3;4;246
1475;3;5;246
1476;3;1;250
1477;3;2;250
1478;3;3;250
1479;3;4;250
1480;3;5;250
1481;3;1;254
1482;3;2;254
1483;3;3;254
1484;3;4;254
1485;3;5;254
1486;3;1;109
1487;3;2;109
1488;3;3;109
1489;3;4;109
1490;3;5;109
1491;3;1;110
1492;3;2;110
1493;3;3;110
1494;3;4;110
1495;3;5;110
1496;3;1;112
1497;3;2;112
1498;3;3;112
1499;3;4;112
1500;3;5;112
1501;3;1;113
1502;3;2;113
1503;3;3;113
1504;3;4;113
1505;3;5;113
1506;3;1;115
1507;3;2;115
1508;3;3;115
1509;3;4;115
1510;3;5;115
1511;3;1;117
1512;3;2;117
1513;3;3;117
1514;3;4;117
1515;3;5;117
1516;3;1;118
1517;3;2;118
1518;3;3;118
1519;3;4;118
1520;3;5;118
1521;3;1;253
1522;3;2;253
1523;3;3;253
1524;3;4;253
1525;3;5;253
1526;3;1;119
1527;3;2;119
1528;3;3;119
1529;3;4;119
1530;3;5;119
1531;3;1;120
1532;3;2;120
1533;3;3;120
1534;3;4;120
1535;3;5;120
1536;3;1;122
1537;3;2;122
1538;3;3;122
1539;3;4;122
1540;3;5;122
1541;3;1;123
1542;3;2;123
1543;3;3;123
1544;3;4;123
1545;3;5;123
1546;3;1;124
1547;3;2;124
1548;3;3;124
1549;3;4;124
1550;3;5;124
1551;3;1;125
1552;3;2;125
1553;3;3;125
1554;3;4;125
1555;3;5;125
1556;3;1;126
1557;3;2;126
1558;3;3;126
1559;3;4;126
1560;3;5;126
1561;3;1;128
1562;3;2;128
1563;3;3;128
1564;3;4;128
1565;3;5;128
1566;3;1;129
1567;3;2;129
1568;3;3;129
1569;3;4;129
1570;3;5;129
1571;3;1;131
1572;3;2;131
1573;3;3;131
1574;3;4;131
1575;3;5;131
1576;3;1;132
1577;3;2;132
1578;3;3;132
1579;3;4;132
1580;3;5;132
1581;3;1;134
1582;3;2;134
1583;3;3;134
1584;3;4;134
1585;3;5;134
1586;3;1;135
1587;3;2;135
1588;3;3;135
1589;3;4;135
1590;3;5;135
1591;3;1;137
1592;3;2;137
1593;3;3;137
1594;3;4;137
1595;3;5;137
1596;3;1;138
1597;3;2;138
1598;3;3;138
1599;3;4;138
1600;3;5;138
1601;3;1;139
1602;3;2;139
1603;3;3;139
1604;3;4;139
1605;3;5;139
1606;3;1;140
1607;3;2;140
1608;3;3;140
1609;3;4;140
1610;3;5;140
1611;3;1;141
1612;3;2;141
1613;3;3;141
1614;3;4;141
1615;3;5;141
1616;3;1;142
1617;3;2;142
1618;3;3;142
1619;3;4;142
1620;3;5;142
1621;3;1;143
1622;3;2;143
1623;3;3;143
1624;3;4;143
1625;3;5;143
1626;3;1;144
1627;3;2;144
1628;3;3;144
1629;3;4;144
1630;3;5;144
1631;3;1;145
1632;3;2;145
1633;3;3;145
1634;3;4;145
1635;3;5;145
1636;3;1;146
1637;3;2;146
1638;3;3;146
1639;3;4;146
1640;3;5;146
1641;3;1;147
1642;3;2;147
1643;3;3;147
1644;3;4;147
1645;3;5;147
1646;3;1;149
1647;3;2;149
1648;3;3;149
1649;3;4;149
1650;3;5;149
1651;3;1;153
1652;3;2;153
1653;3;3;153
1654;3;4;153
