eventId;personRoleId;checkIn;checkOut;status;comment;justificationUrl;coordenates;modality;createdAt;updatedAt;createdBy;updatedBy
331;1941;2025-10-30 14:52:02.964;2025-11-05 18:31:31.387;PRESENTE;"";"";13.7174092,-88.2880929;Presencial;2025-10-30 14:52:02.965;2025-11-05 18:31:31.388;153;153
405;66;2025-10-28 18:12:06.513;2025-10-28 18:26:20.488;PRESENTE;"";"";13.3277217,-88.5703583;Presencial;2025-10-28 18:12:06.514;2025-10-28 18:26:20.488;66;66
524;4290;2025-10-28 15:31:17.741;2025-11-08 03:09:08.802;PRESENTE;"";"";14.1344122,-88.9652798;Presencial;2025-10-28 15:31:17.742;2025-11-08 03:09:08.802;232;232
362;106;2025-10-31 14:13:07.54;2025-11-07 17:46:23.201;PRESENTE;"";"";13.3273725,-87.9755761;Presencial;2025-10-31 14:13:07.541;2025-11-07 17:46:23.202;106;106
362;4322;2025-10-31 14:13:07.547;2025-11-07 17:46:23.201;PRESENTE;"";"";13.3273725,-87.9755761;Presencial;2025-10-31 14:13:07.547;2025-11-07 17:46:23.202;106;106
304;118;2025-10-30 22:37:10.578;2025-10-31 15:06:17.796;PRESENTE;"";"";13.4815486,-88.1753062;Presencial;2025-10-30 22:37:10.578;2025-10-31 15:06:17.797;118;118
304;2958;2025-10-30 22:37:10.584;2025-10-31 15:06:17.796;PRESENTE;"";"";13.4815486,-88.1753062;Presencial;2025-10-30 22:37:10.584;2025-10-31 15:06:17.797;118;118
530;3131;2025-10-31 14:41:25.449;2025-11-04 17:14:26.703;PRESENTE;"";"";13.6828636,-88.4182002;Presencial;2025-10-31 14:41:25.45;2025-11-04 17:14:26.704;239;239
301;113;2025-10-30 17:04:50.554;2025-11-07 17:21:43.693;PRESENTE;"";"";13.6227161,-87.8944929;Presencial;2025-10-30 17:04:50.554;2025-11-07 17:21:43.694;113;113
208;66;2025-10-27 22:20:34.372;2025-10-27 22:20:46.512;PRESENTE;"";"";13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.372;2025-10-27 22:20:46.513;66;66
208;1690;2025-10-27 22:20:34.376;2025-10-27 22:20:46.512;PRESENTE;"";"";13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.377;2025-10-27 22:20:46.513;66;66
208;66;2025-10-27 22:20:34.385;2025-10-27 22:20:46.512;PRESENTE;"";"";13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.386;2025-10-27 22:20:46.513;66;66
208;1690;2025-10-27 22:20:34.39;2025-10-27 22:20:46.512;PRESENTE;"";"";13.385685,-88.6680533;Presencial;2025-10-27 22:20:34.391;2025-10-27 22:20:46.513;66;66
